Company Name,Industry,Symbol,Series,ISIN Code,SYMBOL
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012,MUTHOOTFIN
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,EQ,INE987B01026,NATCOPHARM
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01031,NBCC
NHPC Ltd.,POWER,NHPC,EQ,INE848E01016,NHPC
NMDC Ltd.,METALS,NMDC,EQ,INE584A01023,NMDC
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010,NTPC
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034,NATIONALUM
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016,NESTLEIND
Nippon Life India Asset Management Ltd.,FINANCIAL SERVICES,NAM-INDIA,EQ,INE298J01013,RNAM
Oberoi Realty Ltd.,CONSTRUCTION,OBEROIRLTY,EQ,INE093I01010,OBEROIRLTY
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029,ONGC
Oil India Ltd.,OIL & GAS,OIL,EQ,INE274J01014,OIL
Oracle Financial Services Software Ltd.,IT,OFSS,EQ,INE881D01027,OFSS
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,EQ,INE603J01030,PIIND
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING,EQ,INE572E01012,PNBHOUSING
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022,PAGEIND
Petronet LNG Ltd.,OIL & GAS,PETRONET,EQ,INE347G01014,PETRONET
Pfizer Ltd.,PHARMA,PFIZER,EQ,INE182A01018,PFIZER
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026,PIDILITIND
Piramal Enterprises Ltd.,FINANCIAL SERVICES,PEL,EQ,INE140A01024,PEL
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011,PFC
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010,POWERGRID
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,EQ,INE811K01011,PRESTIGE
Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,PGHH,EQ,INE179A01014,PGHH
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022,PNB
Quess Corp Ltd.,SERVICES,QUESS,EQ,INE615P01015,QUESS
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028,RBLBANK
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018,RECLTD
Rajesh Exports Ltd.,CONSUMER GOODS,RAJESHEXPO,EQ,INE343B01030,RAJESHEXPO
Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018,RELIANCE
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016,SBILIFE
SRF Ltd.,INDUSTRIAL MANUFACTURING,SRF,EQ,INE647A01010,SRF
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015,SHREECEM
Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,SRTRANSFIN,EQ,INE721A01013,SRTRANSFIN
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024,SIEMENS
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020,SBIN
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011,SAIL
Sterlite Technologies Ltd.,TELECOM,STRTECH,EQ,INE089C01029,STRTECH
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036,SUNPHARMA
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027,SUNTV
Syngene International Ltd.,PHARMA,SYNGENE,EQ,INE398R01022,SYNGENE
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023,TVSMOTOR
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029,TCS
Tata Consumer Products Ltd.,CONSUMER GOODS,TATACONSUM,EQ,INE192A01025,TATAGLOBAL
Tata Motors Ltd DVR,AUTOMOBILE,TATAMTRDVR,EQ,IN9155A01020,TATAMTRDVR
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022,TATAMOTORS
Tata Power Co. Ltd.,POWER,TATAPOWER,EQ,INE245A01021,TATAPOWER
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012,TATASTEEL
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036,TECHM
The New India Assurance Company Ltd.,FINANCIAL SERVICES,NIACL,EQ,INE470Y01017,NIACL
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037,RAMCOCEM
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028,TITAN
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,EQ,INE685A01028,TORNTPHARM
Torrent Power Ltd.,POWER,TORNTPOWER,EQ,INE813H01021,TORNTPOWER
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036,UPL
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011,ULTRACEMCO
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016,UNIONBANK
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025,UBL
United Spirits Ltd.,CONSUMER GOODS,MCDOWELL-N,EQ,INE854D01024,MCDOWELL-N
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD,EQ,INE951I01027,VGUARD
Varroc Engineering Ltd.,AUTOMOBILE,VARROC,EQ,INE665L01035,VARROC
Varun Beverages Ltd.,CONSUMER GOODS,VBL,EQ,INE200M01013,VBL
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025,VEDL
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016,IDEA
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021,VOLTAS
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,EQ,INE716A01013,WHIRLPOOL
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022,WIPRO
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028,ZEEL
